Unnamed: 0,model_name,dataset,date,Training_version,environment,developer_mode,wer,cer,results_path,notes,checkpoint-path,Training,commit_hash,dataset_evaluation_part,wer_per_mic_type,wer_per_session,wer_per_special_token,wer_per_mic,oversampling,training_time,data_portion in training,beamforming,num_trainable_parameters,diffusion,inference_time,precision
0.0,openai/whisper-tiny,dipco,09/11/2024,last-layer,laptop,Y,2.248961769143853,2.865971717344778,openai/whisper-tiny_dipco_last-layer_09/11/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
1.0,openai/whisper-tiny,dipco,09/11/2024,last-layer,laptop,Y,2.248961769143853,2.865971717344778,openai/whisper-tiny_dipco_last-layer_09/11/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
2.0,openai/whisper-tiny,dipco,09/11/2024,last-layer,laptop,Y,2.2490680616608603,2.8660459416099826,openai/whisper-tiny_dipco_last-layer_09/11/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
3.0,openai/whisper-tiny,dipco,09/11/2024,last-layer,laptop,Y,2.2484062135882983,2.865628310751372,openai/whisper-tiny_dipco_last-layer_09/11/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
4.0,openai/whisper-tiny,dipco,09/15/2024,last-layer,laptop,Y,2.885656236938772,4.492851535717176,openai/whisper-tiny_dipco_last-layer_09/15/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
5.0,openai/whisper-tiny,dipco,09/15/2024,last-layer,laptop,Y,2.889123269905805,4.496695687361426,openai/whisper-tiny_dipco_last-layer_09/15/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
6.0,openai/whisper-tiny,dipco,09/15/2024,last-layer,laptop,Y,2.8845023907849257,4.4922299017883045,openai/whisper-tiny_dipco_last-layer_09/15/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
7.0,openai/whisper-tiny,dipco,09/15/2024,last-layer,laptop,Y,2.8845023907849257,4.4922299017883045,openai/whisper-tiny_dipco_last-layer_09/15/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
8.0,openai/whisper-tiny,dipco,09/15/2024,last-layer,laptop,Y,2.889123269905805,4.503074475240214,openai/whisper-tiny_dipco_last-layer_09/15/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
9.0,openai/whisper-tiny,dipco,09/15/2024,last-layer,laptop,Y,1.2840429264821025,1.476550292980057,openai/whisper-tiny_dipco_last-layer_09/15/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
10.0,openai/whisper-tiny,dipco,09/17/2024,peft,laptop,Y,1.3150595677150063,1.360952947027402,openai/whisper-tiny_dipco_peft_09/17/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
11.0,openai/whisper-tiny,dipco,09/17/2024,peft,laptop,Y,1.2545329071703786,1.3524034814233783,openai/whisper-tiny_dipco_peft_09/17/2024/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
12.0,openai/whisper-tiny,dipco,10/14/2024,vanilla,laptop,Y,0.7783319211421765,0.831897322071155,openai/whisper-tiny_dipco_vanilla/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
13.0,openai/whisper-tiny,dipco,10/14/2024,vanilla,laptop,Y,0.848160673414843,0.9586336528872292,openai/whisper-tiny_dipco_vanilla/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
14.0,openai/whisper-tiny,dipco,10/14/2024,vanilla,laptop,Y,0.7714914765281048,0.8293470071513981,openai/whisper-tiny_dipco_vanilla/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
15.0,openai/whisper-tiny,dipco,10/14/2024,vanilla,laptop,Y,0.7747444731402563,0.8330561940446163,openai/whisper-tiny_dipco_vanilla/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
16.0,openai/whisper-tiny,dipco,10/14/2024,vanilla,laptop,Y,0.7643521062353967,0.8243358641931456,openai/whisper-tiny_dipco_vanilla/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
17.0,openai/whisper-tiny,dipco,10/15/2024,vanilla,laptop,Y,1.6244934111717202,1.701985227177439,openai/whisper-tiny_dipco_vanilla/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
18.0,openai/whisper-tiny,dipco,10/15/2024,vanilla,laptop,Y,1.6244934111717202,1.701985227177439,openai/whisper-tiny_dipco_vanilla/results.json,Initial run with custom dataset,,,,,,,,,,,,,,,,
